	Count
hsa-mir-548ay-5p	17
hsa-mir-9985	17
hsa-mir-659-5p	17
hsa-mir-3173-5p	17
hsa-mir-340-3p	16
hsa-mir-3130-5p	16
hsa-mir-33a-3p	16
hsa-mir-24-1-5p	16
hsa-mir-3928-5p	16
hsa-mir-1272	16
hsa-mir-193a-3p	16
hsa-mir-452-5p	16
hsa-mir-10396a-5p	16
hsa-mir-4326	15
hsa-mir-10396a-3p	15
hsa-mir-26a-2-3p	15
hsa-mir-642a-3p	15
hsa-mir-181a-2-3p	15
hsa-mir-145-5p	15
hsa-mir-3620-5p	15
hsa-mir-153-5p	15
hsa-mir-6501-5p	15
hsa-mir-4435	15
hsa-mir-4497	14
hsa-mir-4449	14
hsa-mir-4424	14
hsa-mir-1294	14
hsa-mir-3157-5p	14
hsa-mir-5582-3p	14
hsa-mir-181c-3p	14
hsa-mir-9986	14
hsa-mir-152-3p	14
hsa-mir-548ab	14
hsa-mir-548v	13
hsa-mir-483-5p	13
hsa-mir-3135a	13
hsa-mir-181b-3p	13
hsa-mir-365a-3p	13
hsa-mir-4511	13
hsa-mir-30c-1-3p	13
hsa-mir-455-5p	13
hsa-mir-411-5p	13
hsa-mir-29a-5p	13
hsa-mir-182-3p	13
hsa-mir-3065-3p	13
hsa-mir-4472	13
hsa-mir-3942-5p	12
hsa-mir-3663-3p	12
hsa-mir-5699-5p	12
hsa-mir-3155a	12
hsa-mir-3622a-3p	12
hsa-mir-4652-5p	12
hsa-mir-548au-5p	12
hsa-mir-4767	12
hsa-mir-19a-5p	12
hsa-mir-548g-5p	12
hsa-mir-3684	12
hsa-mir-3130-3p	12
hsa-mir-4502	12
hsa-mir-183-3p	12
hsa-mir-4661-3p	12
hsa-let-7f-1-3p	12
hsa-mir-548at-5p	12
hsa-mir-1248	12
hsa-mir-185-5p	12
hsa-mir-10392-5p	12
hsa-mir-1291	12
hsa-mir-937-3p	12
hsa-mir-4515	12
hsa-mir-5093	11
hsa-mir-548i	11
hsa-mir-4463	11
hsa-mir-4647	11
hsa-mir-6850-5p	11
hsa-mir-548ar-3p	11
hsa-mir-450b-5p	11
hsa-mir-5699-3p	11
hsa-mir-5001-5p	11
hsa-mir-892c-3p	10
hsa-mir-3672	10
hsa-mir-4443	10
hsa-mir-663b	10
hsa-mir-548d-5p	10
hsa-mir-6824-3p	10
hsa-mir-146a-5p	10
hsa-mir-933	10
hsa-mir-33a-5p	10
hsa-mir-1252-5p	10
hsa-mir-9-3p	10
hsa-mir-12135	10
hsa-mir-6850-3p	10
hsa-mir-6125	10
hsa-mir-132-5p	10
hsa-mir-362-3p	10
hsa-mir-138-5p	10
hsa-mir-3659	10
hsa-mir-9899	9
hsa-mir-744-3p	9
hsa-mir-425-3p	9
hsa-mir-6777-3p	9
hsa-mir-580-3p	9
hsa-mir-2355-3p	9
hsa-mir-628-5p	9
hsa-let-7b-3p	9
hsa-mir-3157-3p	9
hsa-mir-3605-5p	9
hsa-mir-215-5p	9
hsa-mir-196a-3p	9
hsa-mir-6886-5p	9
hsa-mir-664a-3p	9
hsa-mir-654-3p	9
hsa-mir-4444	8
hsa-mir-3922-3p	8
hsa-mir-548ai	8
hsa-mir-3158-5p	8
hsa-mir-618	8
hsa-mir-3133	8
hsa-mir-2355-5p	8
hsa-mir-452-3p	8
hsa-mir-548ac	8
hsa-mir-4523	8
hsa-mir-34a-3p	8
hsa-mir-6516-3p	8
hsa-mir-944	8
hsa-mir-374b-3p	8
hsa-mir-5000-3p	8
hsa-mir-653-5p	8
