	Count
hsa-mir-671-5p	215
hsa-mir-26b-3p	211
hsa-mir-200b-5p	209
hsa-mir-29c-3p	204
hsa-mir-199a-3p	199
hsa-mir-1273c	198
hsa-mir-4448	192
hsa-mir-2277-5p	188
hsa-mir-331-3p	188
hsa-mir-4284	187
hsa-mir-574-3p	184
hsa-mir-135b-5p	180
hsa-mir-3605-3p	175
hsa-mir-2467-5p	174
hsa-mir-4677-3p	171
hsa-mir-194-5p	170
hsa-mir-324-5p	169
hsa-mir-3909	168
hsa-mir-3928-3p	165
hsa-mir-4435	162
hsa-mir-9-3p	161
hsa-mir-9903	157
hsa-mir-1285-5p	148
hsa-mir-320b	147
hsa-mir-1260b	145
hsa-mir-145-5p	145
hsa-mir-326	144
hsa-mir-4746-5p	143
hsa-mir-1304-5p	138
hsa-let-7f-2-3p	137
hsa-mir-1266-5p	134
hsa-mir-153-3p	134
hsa-mir-589-3p	134
hsa-mir-1468-5p	133
hsa-mir-4466	133
hsa-mir-576-3p	133
hsa-mir-449a	133
hsa-mir-1293	132
hsa-mir-4661-5p	132
hsa-mir-331-5p	129
hsa-mir-550a-3p	128
hsa-mir-1843	127
hsa-mir-3691-5p	127
hsa-mir-628-5p	126
hsa-let-7f-1-3p	124
hsa-mir-32-5p	123
hsa-mir-8086	116
hsa-mir-573	116
hsa-mir-1224-5p	114
hsa-mir-31-3p	113
hsa-mir-199b-5p	113
hsa-mir-654-3p	112
hsa-mir-616-5p	112
hsa-mir-627-5p	111
hsa-mir-548bc	107
hsa-mir-6777-3p	104
hsa-let-7b-3p	103
hsa-mir-203b-3p	103
hsa-mir-4484	102
hsa-mir-219a-1-3p	102
hsa-mir-937-3p	101
hsa-mir-3605-5p	100
hsa-mir-4745-5p	97
hsa-mir-642a-3p	96
hsa-mir-5001-3p	96
hsa-mir-409-3p	95
hsa-mir-744-3p	93
hsa-mir-760	93
hsa-mir-607	93
hsa-mir-378d	92
hsa-mir-185-3p	91
hsa-mir-940	90
hsa-mir-378a-5p	89
hsa-mir-3648	88
hsa-mir-381-3p	88
hsa-mir-135b-3p	87
hsa-mir-328-3p	87
hsa-mir-145-3p	83
hsa-mir-3155a	83
hsa-mir-1286	83
hsa-mir-619-5p	82
hsa-mir-374b-3p	81
hsa-mir-627-3p	81
hsa-mir-551a	79
hsa-mir-1287-5p	79
hsa-mir-342-5p	78
hsa-mir-3934-5p	78
hsa-mir-548n	78
hsa-mir-92b-5p	77
hsa-mir-1247-5p	75
hsa-mir-455-3p	75
hsa-mir-411-5p	75
hsa-mir-301a-5p	74
hsa-mir-4521	74
hsa-mir-579-5p	73
hsa-mir-3929	73
hsa-let-7e-3p	70
hsa-mir-548d-3p	69
hsa-mir-1262	69
hsa-mir-636	68
hsa-mir-182-3p	68
hsa-mir-450b-5p	68
hsa-mir-33a-5p	67
hsa-let-7i-3p	66
hsa-mir-3177-3p	66
hsa-mir-186-3p	65
hsa-let-7a-2-3p	65
hsa-mir-4485-3p	65
hsa-mir-151b	65
hsa-mir-532-3p	64
hsa-let-7g-3p	62
hsa-mir-185-5p	61
hsa-mir-548e-5p	61
hsa-mir-1247-3p	61
hsa-mir-9901	60
hsa-mir-7976	59
hsa-mir-10396b-3p	59
hsa-mir-449b-5p	58
hsa-mir-935	58
hsa-mir-548az-5p	57
hsa-mir-1276	56
hsa-mir-548d-5p	56
hsa-mir-5701	55
hsa-mir-3200-5p	55
hsa-mir-193b-5p	54
hsa-mir-195-5p	54
hsa-mir-4517	54
hsa-mir-1252-5p	53
hsa-mir-152-3p	53
hsa-mir-4671-3p	53
hsa-mir-10399-3p	53
hsa-mir-320d	51
hsa-mir-3065-5p	51
hsa-mir-769-3p	51
hsa-mir-548u	51
hsa-mir-452-5p	50
hsa-mir-5094	50
hsa-mir-29b-1-5p	50
hsa-mir-6886-5p	50
hsa-mir-4664-3p	49
hsa-mir-142-5p	49
hsa-mir-95-3p	48
hsa-mir-3614-5p	48
hsa-mir-1908-3p	48
hsa-mir-7854-3p	47
hsa-mir-196a-1-3p	47
hsa-mir-5585-3p	47
hsa-mir-651-5p	46
hsa-mir-362-5p	45
hsa-mir-4741	45
hsa-mir-502-3p	45
hsa-mir-548ab	45
hsa-mir-548h-3p	45
hsa-mir-3150a-5p	44
hsa-mir-210-5p	44
hsa-mir-29a-5p	44
hsa-mir-132-5p	44
hsa-mir-6850-5p	43
hsa-mir-218-5p	43
hsa-mir-643	42
hsa-mir-140-5p	42
hsa-mir-34a-3p	42
hsa-mir-7851-3p	42
hsa-mir-642a-5p	41
hsa-mir-1226-3p	41
hsa-mir-3187-3p	41
hsa-mir-628-3p	41
hsa-mir-3677-3p	41
hsa-mir-505-5p	40
hsa-mir-5100	40
hsa-mir-497-5p	40
hsa-mir-197-5p	40
hsa-mir-3138	40
hsa-mir-22-5p	39
hsa-mir-6511b-5p	39
hsa-mir-5699-3p	39
hsa-mir-3659	38
hsa-mir-548c-5p	38
hsa-mir-3173-5p	38
hsa-mir-4653-5p	38
hsa-mir-1292-5p	37
hsa-mir-615-5p	36
hsa-mir-33a-3p	36
hsa-mir-2116-3p	36
hsa-mir-556-5p	35
hsa-mir-10401-3p	35
hsa-mir-32-3p	35
hsa-mir-3918	35
hsa-mir-3174	34
hsa-mir-548ay-5p	34
hsa-mir-410-3p	34
hsa-mir-548t-3p	34
hsa-mir-3130-5p	34
hsa-mir-212-3p	33
hsa-mir-6847-5p	33
hsa-mir-548f-3p	33
hsa-mir-4707-3p	33
hsa-mir-580-3p	33
hsa-mir-450a-5p	32
hsa-mir-548l	31
hsa-mir-3116	31
hsa-mir-1306-3p	31
hsa-mir-3127-5p	31
hsa-mir-26a-2-3p	31
hsa-mir-10399-5p	31
hsa-mir-6850-3p	30
hsa-mir-3065-3p	30
hsa-mir-548ah-3p	30
hsa-mir-1278	30
hsa-mir-200c-5p	29
hsa-mir-7704	29
hsa-mir-147b-3p	29
hsa-mir-548h-5p	29
hsa-mir-4502	29
hsa-mir-548b-5p	29
hsa-mir-663a	28
hsa-mir-1538	28
hsa-mir-3664-3p	28
hsa-mir-4436b-3p	28
hsa-mir-548ar-5p	28
hsa-mir-4652-5p	28
hsa-mir-4786-5p	28
hsa-mir-4511	28
hsa-mir-188-5p	28
hsa-mir-5001-5p	27
hsa-mir-5699-5p	27
hsa-mir-5708	27
hsa-mir-500a-5p	26
hsa-mir-1272	26
hsa-mir-501-5p	26
hsa-mir-424-3p	26
hsa-mir-146b-3p	26
hsa-mir-548s	26
hsa-mir-6511a-3p	26
hsa-mir-616-3p	26
hsa-mir-3150a-3p	26
hsa-mir-10523-5p	26
hsa-mir-939-5p	26
hsa-mir-3960	25
hsa-mir-3143	25
hsa-mir-3942-5p	25
hsa-mir-3157-3p	25
hsa-mir-362-3p	25
hsa-mir-3194-5p	25
hsa-mir-3684	25
hsa-mir-424-5p	25
hsa-mir-1226-5p	24
hsa-mir-889-3p	24
hsa-mir-139-5p	24
hsa-mir-618	24
hsa-mir-6881-3p	24
hsa-mir-548i	23
hsa-mir-6724-5p	23
hsa-mir-3074-5p	23
hsa-mir-542-3p	23
hsa-mir-3127-3p	23
hsa-mir-188-3p	23
hsa-mir-4430	23
hsa-mir-2277-3p	23
hsa-mir-20a-3p	22
hsa-mir-149-3p	22
hsa-mir-1257	22
hsa-mir-545-5p	22
hsa-mir-10396a-3p	21
hsa-mir-1273h-5p	21
hsa-mir-10527-5p	21
hsa-mir-34c-5p	21
hsa-mir-4791	21
hsa-mir-2355-5p	21
hsa-mir-10396a-5p	21
hsa-mir-4761-3p	21
hsa-mir-4796-3p	21
hsa-mir-153-5p	21
hsa-mir-3129-3p	20
hsa-mir-30b-3p	20
hsa-mir-4775	20
hsa-mir-3665	20
hsa-mir-3912-3p	20
hsa-mir-4804-5p	19
hsa-mir-549a-5p	19
hsa-mir-548at-5p	19
hsa-mir-6765-3p	19
hsa-mir-4713-5p	19
hsa-mir-3662	19
hsa-mir-548ay-3p	19
hsa-mir-19a-5p	19
hsa-mir-219b-3p	19
hsa-mir-548ar-3p	19
hsa-mir-6807-3p	19
hsa-mir-6741-3p	18
hsa-mir-1243	18
hsa-mir-196a-3p	18
hsa-mir-6514-5p	18
hsa-mir-320c	18
hsa-mir-4762-5p	18
hsa-mir-489-3p	18
hsa-mir-653-5p	18
hsa-mir-659-5p	18
hsa-mir-943	18
hsa-mir-4697-3p	17
hsa-mir-3939	17
hsa-mir-561-3p	17
hsa-mir-4717-3p	17
hsa-mir-483-5p	17
hsa-mir-4523	17
hsa-mir-3195	17
hsa-mir-1268a	17
hsa-mir-483-3p	17
hsa-mir-5010-5p	17
hsa-mir-624-5p	17
hsa-mir-1237-3p	16
hsa-mir-12121	16
hsa-mir-4451	16
hsa-mir-4787-3p	16
hsa-mir-6775-3p	16
hsa-mir-6859-5p	16
hsa-mir-6716-3p	16
hsa-mir-6840-5p	16
hsa-mir-6842-3p	16
hsa-mir-181b-3p	16
hsa-mir-4661-3p	16
hsa-mir-212-5p	16
hsa-mir-378g	16
hsa-mir-652-5p	16
hsa-mir-3126-5p	16
hsa-mir-4745-3p	16
hsa-mir-877-3p	15
hsa-mir-548v	15
hsa-mir-5684	15
