Aligner,960,962,965,967
PymiRa,21.167,14.586,14.679,10.785
Chimira,165.519,69.581,80.598,55.351
Bowtie2_std_FC,18.856,21.495,16.262,14.612
miRDeep2,23.58,22.906,21.068,15.91
