	SRR3174967_trimmed_size.fasta
hsa-mir-193b-5p	13
hsa-mir-96-5p	13
hsa-mir-203a-3p	12
hsa-mir-153-2-5p	12
hsa-mir-148b-5p	12
hsa-mir-4502-3p	12
hsa-mir-450a-1-5p	12
hsa-mir-548b-5p	12
hsa-mir-3620-5p	12
hsa-mir-499a-5p	12
hsa-mir-625-5p	12
hsa-mir-10396a-3p	11
hsa-mir-339-5p	11
hsa-mir-5001-5p	11
hsa-mir-193b-3p	11
hsa-mir-671-3p	11
hsa-mir-34a-5p	11
hsa-mir-4521-3p	11
hsa-mir-548ai-5p	10
hsa-mir-34c-5p	10
hsa-mir-663a-5p	10
hsa-mir-10523-5p	10
hsa-mir-12135-3p	10
hsa-mir-548n-5p	10
hsa-mir-561-5p	10
hsa-mir-197-5p	10
hsa-mir-1307-5p	10
hsa-mir-548h-3-5p	9
hsa-mir-2355-5p	9
hsa-mir-4449-3p	9
hsa-mir-361-3p	9
hsa-mir-4516-5p	9
hsa-mir-6125-3p	9
hsa-mir-545-5p	8
hsa-mir-486-1-5p	8
hsa-mir-378a-3p	8
hsa-mir-429-3p	8
hsa-mir-374b-5p	8
hsa-mir-196b-3p	8
hsa-mir-4497-5p	8
hsa-mir-190a-5p	8
hsa-mir-142-5p	8
hsa-mir-10b-3p	8
hsa-mir-4463-3p	8
hsa-mir-10401-3p	8
hsa-mir-22-5p	8
hsa-mir-222-5p	7
hsa-mir-125b-1-3p	7
hsa-mir-335-3p	7
hsa-mir-101-1-3p	7
hsa-mir-219a-1-5p	7
hsa-mir-1303-3p	7
hsa-mir-23b-5p	7
hsa-mir-6516-3p	7
hsa-mir-5689-3p	7
hsa-mir-339-3p	7
hsa-mir-577-5p	7
hsa-mir-25-5p	7
hsa-mir-3928-3p	7
hsa-mir-551a-5p	7
hsa-mir-200b-5p	7
hsa-mir-4451-3p	7
hsa-mir-191-3p	7
hsa-mir-4662a-5p	7
hsa-let-7i-3p	7
hsa-mir-8072-5p	7
hsa-mir-4492-3p	7
hsa-mir-26a-2-3p	6
hsa-mir-126-3p	6
hsa-mir-101-1-5p	6
hsa-mir-451a-5p	6
hsa-mir-148b-3p	6
hsa-mir-7851-3p	6
hsa-mir-942-5p	6
hsa-mir-3908-3p	6
hsa-mir-199b-5p	6
hsa-mir-146b-5p	6
hsa-mir-29c-5p	6
hsa-mir-1272-5p	6
hsa-mir-524-5p	6
hsa-mir-1180-3p	6
hsa-mir-1291-5p	6
hsa-mir-6824-3p	6
hsa-mir-3605-5p	6
hsa-mir-345-5p	6
hsa-mir-26a-1-3p	6
hsa-mir-7705-5p	5
hsa-mir-181a-1-5p	5
hsa-mir-590-5p	5
hsa-mir-1247-5p	5
hsa-mir-1273c-3p	5
hsa-mir-6852-5p	5
hsa-mir-5091-5p	5
hsa-mir-556-5p	5
hsa-mir-663b-3p	5
hsa-mir-718-5p	5
hsa-mir-19b-2-3p	5
hsa-mir-4488-5p	5
hsa-mir-200b-3p	5
hsa-mir-374a-3p	5
hsa-mir-106b-3p	5
hsa-mir-10401-5p	5
hsa-mir-892c-3p	5
hsa-mir-1307-3p	5
hsa-mir-96-3p	4
hsa-mir-576-5p	4
hsa-mir-5684-5p	4
hsa-mir-7108-3p	4
hsa-mir-203a-5p	4
hsa-mir-3133-5p	4
hsa-mir-4507-3p	4
hsa-mir-455-5p	4
hsa-mir-3178-5p	4
hsa-mir-29c-3p	4
hsa-mir-3064-5p	4
hsa-mir-3652-5p	4
hsa-mir-1273c-5p	4
hsa-mir-1199-5p	4
hsa-mir-940-3p	4
hsa-mir-548c-5p	4
hsa-mir-4512-3p	4
hsa-mir-19b-1-5p	4
hsa-mir-4690-5p	4
hsa-mir-5696-3p	4
hsa-mir-548ae-2-5p	4
hsa-mir-140-5p	4
hsa-mir-548v-5p	4
hsa-mir-655-5p	4
hsa-mir-125a-3p	4
hsa-mir-501-3p	4
hsa-mir-1285-2-5p	4
hsa-mir-584-5p	4
hsa-mir-653-5p	4
hsa-mir-6514-5p	4
hsa-mir-1285-1-3p	4
hsa-mir-3614-5p	4
hsa-mir-130b-3p	4
hsa-let-7e-3p	4
hsa-mir-662-5p	4
hsa-mir-365a-5p	3
hsa-mir-130a-5p	3
hsa-mir-24-2-3p	3
hsa-mir-4745-3p	3
hsa-mir-1268b-3p	3
hsa-mir-4430-5p	3
hsa-let-7g-3p	3
hsa-mir-369-5p	3
hsa-mir-625-3p	3
hsa-mir-1257-5p	3
hsa-let-7d-3p	3
hsa-mir-4658-3p	3
hsa-mir-10524-5p	3
hsa-mir-4444-1-3p	3
hsa-mir-340-3p	3
hsa-mir-181d-5p	3
hsa-mir-877-5p	3
hsa-mir-4741-3p	3
hsa-mir-4326-5p	3
hsa-mir-548ao-3p	3
hsa-mir-19b-1-3p	3
hsa-mir-3158-1-3p	3
hsa-mir-5088-5p	3
hsa-mir-762-3p	3
hsa-mir-6859-2-3p	3
hsa-mir-210-3p	3
hsa-mir-450a-2-5p	3
hsa-mir-452-5p	3
hsa-mir-3141-5p	3
hsa-mir-421-5p	3
hsa-mir-550a-3-3p	3
hsa-mir-5695-5p	3
hsa-mir-4767-5p	3
hsa-mir-4742-5p	3
hsa-mir-92a-1-5p	3
hsa-mir-346-3p	3
hsa-mir-3135a-5p	3
hsa-mir-6755-5p	3
hsa-mir-449c-5p	3
hsa-mir-1252-5p	3
hsa-mir-421-3p	2
hsa-mir-4290-3p	2
hsa-mir-3199-2-5p	2
hsa-mir-4751-3p	2
hsa-mir-424-5p	2
hsa-mir-550a-1-5p	2
hsa-mir-7108-5p	2
hsa-mir-6797-5p	2
hsa-mir-130a-3p	2
hsa-mir-197-3p	2
hsa-mir-3940-5p	2
hsa-mir-6825-3p	2
hsa-mir-345-3p	2
hsa-mir-200a-3p	2
hsa-mir-6861-5p	2
hsa-mir-34a-3p	2
hsa-mir-4458-5p	2
hsa-mir-3672-5p	2
hsa-mir-6789-5p	2
hsa-mir-4466-5p	2
hsa-mir-548y-3p	2
hsa-mir-4722-5p	2
hsa-mir-1915-5p	2
hsa-mir-548d-2-5p	2
hsa-mir-4522-3p	2
hsa-mir-128-1-3p	2
hsa-mir-632-3p	2
hsa-mir-330-3p	2
hsa-mir-542-3p	2
hsa-mir-7845-3p	2
hsa-mir-30a-5p	2
hsa-mir-4444-1-5p	2
hsa-mir-4523-5p	2
hsa-mir-579-5p	2
hsa-mir-2110-3p	2
hsa-mir-2114-5p	2
hsa-mir-200c-3p	2
hsa-mir-411-5p	2
hsa-mir-12121-5p	2
hsa-mir-210-5p	2
hsa-mir-4709-5p	2
hsa-mir-6887-5p	2
hsa-mir-301a-5p	2
hsa-mir-7161-3p	2
hsa-mir-574-3p	2
hsa-mir-328-3p	2
hsa-mir-4426-5p	2
hsa-mir-1468-3p	2
hsa-mir-3146-5p	2
hsa-mir-141-3p	2
hsa-mir-3655-5p	2
hsa-mir-940-5p	2
hsa-mir-10394-3p	2
hsa-mir-570-5p	2
hsa-mir-6751-5p	2
hsa-mir-640-3p	2
hsa-mir-342-3p	2
hsa-mir-5689-5p	2
hsa-mir-17-3p	2
hsa-mir-4651-5p	2
hsa-mir-3913-2-5p	2
hsa-mir-1289-1-3p	2
hsa-mir-23b-3p	2
hsa-mir-767-5p	2
hsa-mir-6801-5p	2
hsa-mir-149-3p	2
hsa-mir-30b-3p	2
hsa-mir-195-5p	2
hsa-mir-331-3p	2
hsa-mir-7975-5p	2
hsa-mir-3188-3p	2
hsa-mir-449a-5p	2
hsa-mir-1538-3p	2
hsa-mir-6759-3p	2
hsa-mir-641-5p	2
hsa-mir-1287-5p	2
hsa-mir-101-2-5p	2
hsa-mir-4664-3p	2
hsa-mir-1285-2-3p	2
hsa-mir-3175-5p	2
hsa-mir-1843-3p	2
hsa-mir-564-3p	2
hsa-mir-8072-3p	2
hsa-mir-4267-3p	2
hsa-mir-597-3p	2
hsa-mir-4420-3p	2
hsa-mir-6125-5p	2
hsa-mir-9-3-3p	2
hsa-mir-3610-3p	2
hsa-mir-1296-3p	2
hsa-mir-1226-5p	2
hsa-mir-3190-3p	2
hsa-mir-3142-5p	1
hsa-mir-548at-5p	1
hsa-mir-4638-5p	1
hsa-mir-4710-5p	1
hsa-mir-6858-5p	1
hsa-mir-5003-3p	1
hsa-mir-3142-3p	1
hsa-mir-2909-3p	1
hsa-mir-1237-5p	1
hsa-mir-6803-5p	1
hsa-mir-519a-2-3p	1
hsa-mir-95-5p	1
hsa-mir-12115-5p	1
hsa-mir-6804-3p	1
hsa-mir-548an-5p	1
hsa-mir-4440-3p	1
hsa-mir-6833-3p	1
hsa-mir-4686-5p	1
hsa-mir-4442-3p	1
hsa-mir-765-3p	1
hsa-mir-6787-3p	1
hsa-mir-3143-3p	1
hsa-mir-619-3p	1
hsa-mir-10527-3p	1
hsa-mir-5680-5p	1
hsa-mir-10527-5p	1
hsa-mir-33b-3p	1
hsa-mir-6721-5p	1
hsa-mir-3143-5p	1
hsa-mir-6787-5p	1
hsa-mir-346-5p	1
hsa-mir-5585-5p	1
hsa-mir-6832-3p	1
hsa-mir-7111-5p	1
hsa-mir-7154-3p	1
hsa-mir-3167-5p	1
hsa-mir-548bc-3p	1
hsa-mir-4652-5p	1
hsa-mir-4528-3p	1
hsa-mir-6895-5p	1
hsa-mir-6791-3p	1
hsa-mir-5787-5p	1
hsa-mir-11399-5p	1
hsa-mir-4470-5p	1
hsa-mir-145-3p	1
hsa-mir-6844-3p	1
hsa-mir-1247-3p	1
hsa-mir-1302-4-5p	1
hsa-mir-6089-2-3p	1
hsa-mir-502-5p	1
hsa-mir-33a-3p	1
hsa-mir-7847-5p	1
hsa-mir-588-5p	1
hsa-mir-4697-3p	1
hsa-mir-7847-3p	1
hsa-mir-296-3p	1
hsa-mir-224-3p	1
hsa-mir-4681-5p	1
hsa-mir-3615-5p	1
hsa-mir-4759-3p	1
hsa-mir-5192-5p	1
hsa-mir-6765-5p	1
hsa-mir-215-5p	1
hsa-mir-6770-2-3p	1
hsa-mir-600-3p	1
hsa-mir-4999-5p	1
hsa-mir-614-5p	1
hsa-mir-519a-1-5p	1
hsa-mir-3133-3p	1
hsa-mir-485-5p	1
hsa-mir-6789-3p	1
hsa-mir-5692c-2-5p	1
hsa-mir-326-3p	1
hsa-mir-5708-5p	1
hsa-mir-6799-3p	1
hsa-mir-4485-5p	1
hsa-mir-6515-3p	1
hsa-mir-611-3p	1
hsa-mir-6753-3p	1
hsa-mir-1271-5p	1
hsa-mir-3201-5p	1
hsa-mir-4448-5p	1
hsa-mir-214-5p	1
hsa-mir-4749-5p	1
hsa-mir-4421-3p	1
hsa-mir-7706-5p	1
hsa-mir-1304-5p	1
hsa-mir-378d-2-5p	1
hsa-mir-4749-3p	1
hsa-mir-4497-3p	1
hsa-mir-5008-3p	1
hsa-mir-548f-5-3p	1
hsa-mir-3665-3p	1
hsa-mir-4522-5p	1
hsa-mir-493-3p	1
hsa-mir-10525-3p	1
hsa-mir-5089-3p	1
hsa-mir-3652-3p	1
hsa-mir-6529-5p	1
hsa-mir-758-3p	1
hsa-mir-664b-3p	1
hsa-mir-7-3-5p	1
hsa-mir-6761-5p	1
hsa-mir-648-3p	1
hsa-mir-711-5p	1
hsa-mir-8077-3p	1
hsa-mir-6743-5p	1
hsa-mir-10393-5p	1
hsa-mir-3121-5p	1
hsa-mir-138-2-5p	1
hsa-mir-3714-3p	1
hsa-mir-4315-1-3p	1
hsa-mir-4746-5p	1
hsa-mir-10393-3p	1
hsa-mir-4478-5p	1
hsa-mir-762-5p	1
hsa-mir-302a-5p	1
hsa-mir-3919-5p	1
hsa-mir-572-5p	1
hsa-mir-643-5p	1
hsa-mir-190a-3p	1
hsa-mir-4523-3p	1
hsa-mir-3617-5p	1
hsa-mir-18b-5p	1
hsa-mir-185-5p	1
hsa-mir-548d-2-3p	1
hsa-mir-2278-5p	1
hsa-mir-338-5p	1
hsa-mir-596-3p	1
hsa-mir-615-5p	1
hsa-mir-219a-1-3p	1
hsa-mir-99b-3p	1
hsa-mir-548ab-5p	1
hsa-mir-3678-3p	1
hsa-mir-140-3p	1
hsa-let-7c-5p	1
hsa-mir-4499-5p	1
hsa-mir-1181-3p	1
hsa-mir-4661-5p	1
hsa-mir-5702-5p	1
hsa-mir-647-5p	1
hsa-mir-1293-5p	1
hsa-mir-5091-3p	1
hsa-mir-548i-3-5p	1
hsa-mir-2110-5p	1
hsa-mir-937-3p	1
hsa-mir-1181-5p	1
hsa-mir-548ah-3p	1
hsa-mir-586-5p	1
hsa-mir-6766-5p	1
hsa-mir-1268a-5p	1
hsa-mir-663b-5p	1
hsa-mir-548ax-3p	1
hsa-mir-378c-3p	1
hsa-mir-329-1-3p	1
hsa-mir-3180-5-3p	1
hsa-mir-5087-3p	1
hsa-mir-548d-1-5p	1
hsa-mir-6078-5p	1
hsa-mir-5703-3p	1
hsa-mir-1972-1-5p	1
hsa-mir-4496-3p	1
hsa-mir-1292-5p	1
hsa-mir-218-1-3p	1
hsa-mir-301a-3p	1
hsa-mir-3150a-3p	1
hsa-mir-4536-2-5p	1
hsa-mir-1256-3p	1
hsa-mir-1178-5p	1
hsa-mir-4706-5p	1
hsa-mir-452-3p	1
hsa-mir-4452-5p	1
hsa-mir-199b-3p	1
hsa-mir-6758-3p	1
hsa-mir-4670-5p	1
hsa-mir-920-5p	1
hsa-mir-6734-5p	1
hsa-mir-3129-5p	1
hsa-mir-671-5p	1
hsa-mir-641-3p	1
hsa-mir-628-5p	1
hsa-mir-9899-5p	1
hsa-mir-4693-5p	1
hsa-mir-4449-5p	1
hsa-mir-8089-3p	1
hsa-mir-492-3p	1
hsa-mir-9899-3p	1
hsa-mir-1468-5p	1
hsa-mir-6088-3p	1
hsa-mir-6809-5p	1
hsa-mir-1909-5p	1
hsa-mir-3655-3p	1
hsa-mir-4659a-3p	1
hsa-mir-6864-5p	1
hsa-mir-548g-5p	1
hsa-mir-4301-5p	1
hsa-mir-3690-1-5p	1
hsa-mir-3156-2-3p	1
hsa-mir-4289-3p	1
hsa-mir-627-5p	1
hsa-mir-301b-3p	1
hsa-mir-3660-3p	1
hsa-mir-3664-5p	1
hsa-mir-7159-5p	1
hsa-mir-6855-3p	1
hsa-mir-648-5p	1
hsa-mir-3149-3p	1
hsa-mir-4533-5p	1
hsa-mir-5191-3p	1
hsa-mir-542-5p	1
hsa-mir-6751-3p	1
hsa-mir-3663-3p	1
hsa-mir-324-3p	1
hsa-mir-3200-5p	1
hsa-mir-639-5p	1
hsa-mir-3065-5p	1
hsa-mir-624-5p	1
hsa-mir-185-3p	1
hsa-mir-3609-3p	1
hsa-mir-5699-3p	1
hsa-mir-638-5p	1
hsa-mir-8052-3p	1
hsa-mir-4503-3p	1
hsa-mir-3135b-5p	1
hsa-mir-146a-5p	1
hsa-mir-372-5p	1
hsa-mir-4656-3p	1
hsa-mir-616-5p	1
hsa-mir-1827-3p	1
hsa-mir-615-3p	1
hsa-mir-4675-3p	1
hsa-mir-15a-3p	1
hsa-mir-6807-3p	1
hsa-mir-7112-5p	1
hsa-mir-6831-3p	1
hsa-mir-4738-3p	1
hsa-mir-6735-3p	1
hsa-mir-4328-5p	1
hsa-mir-937-5p	1
hsa-mir-5001-3p	1
hsa-mir-212-5p	1
hsa-mir-664a-5p	1
hsa-mir-151b-3p	1
hsa-mir-494-5p	1
hsa-mir-99a-5p	1
hsa-mir-3155a-5p	1
hsa-mir-664a-3p	1
hsa-mir-6876-3p	1
hsa-mir-892a-3p	1
hsa-mir-24-1-5p	1
hsa-mir-4515-5p	1
hsa-mir-18a-3p	1
hsa-mir-3941-5p	1
hsa-mir-196a-2-3p	1
hsa-mir-204-5p	1
hsa-mir-3909-5p	1
hsa-mir-302b-3p	1
hsa-mir-6859-2-5p	1
hsa-mir-874-3p	1
hsa-mir-4796-5p	1
hsa-mir-548f-4-3p	1
hsa-mir-6783-5p	1
hsa-mir-3928-5p	1
hsa-mir-2277-5p	1
hsa-mir-4278-5p	1
hsa-mir-3618-5p	1
hsa-mir-3670-3-3p	1
hsa-mir-497-5p	1
hsa-mir-1225-5p	1
hsa-mir-500b-3p	1
hsa-mir-3939-5p	1
hsa-mir-483-3p	1
hsa-mir-574-5p	1
hsa-mir-6879-5p	1
hsa-mir-4664-5p	1
hsa-mir-548ba-3p	1
hsa-mir-4647-5p	1
hsa-mir-101-2-3p	1
hsa-mir-7162-3p	1
hsa-mir-4313-5p	1
hsa-mir-153-1-5p	1
hsa-mir-203b-3p	1
hsa-mir-6820-5p	1
hsa-mir-26b-3p	1
hsa-mir-5695-3p	1
hsa-mir-766-3p	1
hsa-mir-1273h-3p	1
hsa-mir-545-3p	1
hsa-mir-4445-5p	1
hsa-mir-576-3p	1
hsa-mir-7703-3p	1
hsa-mir-1843-5p	1
hsa-mir-33b-5p	1
hsa-mir-6856-3p	1
hsa-mir-150-3p	1
hsa-mir-3085-3p	1
hsa-mir-4671-5p	1
hsa-mir-6511b-2-5p	1
hsa-mir-9-1-5p	1
hsa-mir-6882-5p	1
hsa-mir-375-3p	1
hsa-mir-4774-5p	1
hsa-mir-1306-3p	1
hsa-mir-548k-5p	1
hsa-mir-6835-3p	1
hsa-mir-557-5p	1
hsa-mir-33a-5p	1
hsa-mir-1299-3p	1
hsa-mir-6132-5p	1
hsa-mir-1914-5p	1
hsa-mir-552-3p	1
hsa-mir-145-5p	1
hsa-mir-1301-3p	1
hsa-mir-6777-3p	1
hsa-mir-7854-3p	1
hsa-mir-198-3p	1
hsa-mir-1910-5p	1
hsa-mir-658-3p	1
hsa-mir-617-3p	1
hsa-mir-429-5p	1
hsa-mir-1229-3p	1
hsa-mir-4320-3p	1
hsa-mir-6762-5p	1
hsa-mir-2467-3p	1
hsa-mir-199a-2-5p	1
hsa-mir-1913-5p	1
hsa-mir-1825-3p	1
hsa-mir-4734-5p	1
hsa-mir-107-3p	1
hsa-mir-3124-5p	1
hsa-mir-194-2-3p	1
hsa-mir-103a-1-5p	1
hsa-mir-3124-3p	1
hsa-mir-325-3p	1
hsa-mir-4492-5p	1
hsa-mir-6739-3p	1
hsa-mir-3613-5p	1
hsa-mir-6728-5p	1
hsa-mir-9-2-5p	1
hsa-mir-6512-5p	1
hsa-mir-30c-2-5p	1
hsa-mir-3074-5p	1
hsa-mir-3194-3p	1
hsa-mir-199a-2-3p	1
hsa-mir-3168-3p	1
hsa-mir-4519-5p	1
totaldepth	339565
