SRR19795711_trimmed2.fasta,Count
mmu-mir-423-5p,131
mmu-mir-342-3p,130
mmu-mir-99b-3p,126
mmu-mir-9-1-5p,125
mmu-mir-9-2-5p,124
mmu-mir-340-3p,123
mmu-mir-202-3p,122
mmu-mir-1843a-5p,121
mmu-mir-1843b-5p,120
mmu-mir-22-5p,118
mmu-mir-374b-5p,117
mmu-mir-3963-5p,116
mmu-mir-468-3p,112
mmu-mir-8111-5p,109
mmu-mir-298-5p,107
mmu-mir-1195-5p,106
mmu-mir-741-5p,106
mmu-mir-194-1-5p,104
mmu-mir-574-5p,102
mmu-mir-222-3p,101
mmu-mir-196a-2-5p,101
mmu-mir-450a-1-5p,99
mmu-mir-450a-2-5p,99
mmu-mir-296-3p,95
mmu-mir-714-5p,95
mmu-mir-125b-1-3p,94
mmu-mir-7217-3p,93
mmu-mir-669c-5p,92
mmu-mir-497a-5p,92
mmu-mir-503-3p,89
mmu-mir-330-5p,89
mmu-mir-224-5p,87
mmu-mir-196a-1-5p,85
mmu-mir-361-3p,80
mmu-mir-652-3p,80
mmu-mir-134-5p,79
mmu-mir-7210-3p,77
mmu-mir-7230-5p,77
mmu-mir-690-3p,76
mmu-mir-136-3p,76
mmu-mir-106b-5p,75
mmu-mir-574-3p,74
mmu-mir-674-3p,74
mmu-mir-3473h-3p,73
mmu-mir-6538-5p,72
mmu-mir-3535-5p,72
mmu-mir-501-3p,72
mmu-mir-34b-5p,71
mmu-mir-339-5p,68
mmu-mir-32-5p,65
mmu-mir-19a-3p,64
mmu-mir-5100-3p,63
mmu-mir-296-5p,63
mmu-mir-148a-5p,62
mmu-mir-409-3p,62
mmu-mir-378a-5p,61
mmu-mir-29b-1-3p,60
mmu-mir-5627-5p,59
mmu-mir-615-3p,58
mmu-mir-127-5p,58
mmu-mir-1198-5p,58
mmu-mir-467c-5p,57
mmu-mir-149-5p,57
mmu-mir-382-5p,56
mmu-mir-542-3p,56
mmu-mir-130a-3p,56
mmu-mir-18a-5p,55
mmu-mir-672-5p,55
mmu-mir-1954-3p,55
mmu-mir-7647-3p,54
mmu-mir-598-3p,54
mmu-mir-676-3p,53
mmu-mir-3068-5p,53
mmu-mir-142a-3p,53
mmu-mir-7233-3p,52
mmu-mir-136-5p,52
mmu-mir-7229-5p,51
mmu-mir-19b-2-3p,50
mmu-mir-1961-5p,50
mmu-mir-1187-5p,50
mmu-mir-19b-1-3p,49
mmu-mir-337-5p,49
mmu-mir-467e-5p,49
mmu-mir-382-3p,48
mmu-mir-712-3p,47
mmu-mir-30c-2-3p,47
mmu-mir-425-3p,47
mmu-mir-187-3p,47
mmu-mir-3470b-3p,46
mmu-mir-433-3p,46
mmu-mir-409-5p,46
mmu-mir-449c-5p,45
mmu-mir-29b-2-3p,44
mmu-mir-378b-3p,43
mmu-mir-503-5p,43
mmu-mir-30b-3p,43
mmu-mir-151-5p,42
mmu-mir-1843b-3p,42
mmu-mir-142a-5p,42
mmu-mir-431-5p,41
mmu-mir-467a-1-5p,40
mmu-mir-467a-3-5p,40
mmu-mir-467a-2-5p,40
mmu-mir-467a-7-5p,40
mmu-mir-467a-6-5p,40
mmu-mir-467a-8-5p,40
mmu-mir-467a-10-5p,40
mmu-mir-467a-5-5p,40
mmu-mir-467a-9-5p,40
mmu-mir-467b-5p,40
mmu-mir-467a-4-5p,40
mmu-mir-5126-3p,40
mmu-mir-132-3p,40
mmu-mir-708-5p,39
mmu-mir-411-3p,39
mmu-mir-466q-5p,38
mmu-mir-1194-5p,37
mmu-mir-129-1-5p,37
mmu-mir-335-5p,37
mmu-mir-470-3p,37
mmu-mir-129-2-5p,37
mmu-mir-3471-2-5p,36
mmu-mir-3471-1-5p,36
mmu-mir-365-2-3p,36
mmu-mir-365-1-3p,36
mmu-mir-8105-5p,36
mmu-mir-328-5p,36
mmu-mir-7217-5p,35
mmu-mir-467d-5p,35
mmu-mir-15a-5p,34
mmu-mir-7222-3p,34
mmu-mir-350-3p,34
mmu-mir-763-3p,32
mmu-mir-3473f-3p,32
mmu-mir-147-3p,32
mmu-mir-24-1-5p,32
mmu-mir-211-5p,32
mmu-mir-345-3p,32
mmu-mir-219c-5p,32
mmu-mir-152-5p,32
mmu-mir-370-3p,32
mmu-mir-299a-3p,31
mmu-mir-6366-3p,31
mmu-mir-27a-5p,31
mmu-mir-195a-3p,31
mmu-mir-361-5p,31
mmu-mir-219a-2-5p,31
mmu-mir-200b-5p,31
mmu-mir-7221-5p,31
mmu-mir-1247-5p,30
mmu-mir-10a-3p,30
mmu-mir-193b-3p,29
mmu-mir-16-1-3p,29
mmu-mir-495-3p,29
mmu-mir-465d-5p,28
mmu-mir-7230-3p,28
mmu-mir-490-3p,28
mmu-mir-7234-5p,28
mmu-mir-181c-5p,27
mmu-mir-669e-5p,27
mmu-mir-466k-5p,27
mmu-mir-148b-5p,27
mmu-mir-6241-5p,27
mmu-mir-3535-3p,27
mmu-mir-362-3p,27
mmu-mir-7223-5p,27
mmu-mir-291b-5p,26
mmu-mir-130b-5p,26
mmu-mir-680-2-3p,26
mmu-mir-7b-5p,26
mmu-mir-883b-3p,26
mmu-mir-217-3p,26
mmu-mir-708-3p,25
mmu-mir-341-3p,25
mmu-mir-3968-3p,24
mmu-mir-494-3p,24
mmu-mir-872-3p,24
mmu-mir-201-3p,24
mmu-mir-676-5p,24
mmu-mir-7216-3p,24
mmu-mir-6937-5p,23
mmu-mir-669o-5p,23
mmu-mir-6338-3p,23
mmu-mir-6364-3p,23
mmu-mir-181c-3p,23
mmu-mir-582-3p,23
mmu-mir-330-3p,23
mmu-mir-30d-3p,23
mmu-mir-339-3p,22
mmu-mir-3081-3p,22
mmu-mir-181a-1-3p,22
mmu-mir-135a-2-5p,21
mmu-mir-21c-5p,21
mmu-mir-671-5p,21
mmu-mir-532-3p,21
mmu-mir-155-5p,21
mmu-mir-8112-3p,21
mmu-let-7j-5p,21
mmu-mir-8100-5p,21
mmu-mir-1904-5p,21
mmu-mir-7218-5p,21
mmu-mir-712-5p,20
mmu-mir-695-5p,20
mmu-mir-331-3p,20
mmu-mir-543-3p,20
mmu-mir-135a-1-5p,19
mmu-mir-7223-3p,19
mmu-mir-341-5p,19
mmu-mir-335-3p,19
mmu-mir-7045-5p,19
mmu-mir-379-3p,19
mmu-mir-3068-3p,19
mmu-mir-700-3p,19
mmu-mir-8093-5p,18
mmu-mir-29c-5p,18
mmu-mir-6351-5p,18
mmu-mir-27b-5p,18
mmu-mir-485-3p,18
mmu-mir-485-5p,18
mmu-mir-326-3p,18
mmu-mir-191-3p,18
mmu-mir-31-3p,18
mmu-mir-17-3p,17
mmu-mir-150-5p,17
mmu-mir-681-5p,17
mmu-mir-486a-3p,17
mmu-mir-324-5p,17
mmu-mir-6340-5p,17
mmu-mir-760-3p,17
mmu-mir-369-3p,17
mmu-mir-329-3p,17
mmu-mir-674-5p,16
mmu-mir-466i-5p,16
mmu-mir-376b-5p,16
mmu-mir-7232-3p,16
mmu-mir-29a-5p,16
mmu-mir-92b-3p,16
mmu-mir-10b-3p,16
mmu-mir-338-5p,16
mmu-mir-677-5p,16
mmu-mir-1983-3p,16
mmu-mir-324-3p,16
mmu-mir-329-5p,16
mmu-mir-450b-3p,15
mmu-mir-124-2-5p,15
mmu-mir-410-3p,15
mmu-mir-6337-3p,15
mmu-mir-141-5p,15
mmu-mir-132-5p,15
mmu-mir-369-5p,15
mmu-mir-3472-3p,15
mmu-mir-223-3p,15
mmu-mir-881-5p,15
mmu-mir-133b-3p,14
mmu-mir-709-3p,14
mmu-mir-8120-5p,14
mmu-mir-1981-3p,14
mmu-mir-666-3p,14
mmu-mir-421-3p,14
mmu-mir-504-5p,14
mmu-mir-1224-5p,14
mmu-mir-5126-5p,14
mmu-mir-15b-3p,14
mmu-mir-129-2-3p,14
mmu-mir-291a-5p,14
mmu-mir-203b-3p,14
mmu-mir-671-3p,14
mmu-mir-342-5p,13
mmu-mir-467f-5p,13
mmu-mir-345-5p,13
mmu-mir-133b-5p,13
mmu-mir-714-3p,13
mmu-mir-1947-5p,13
mmu-mir-667-5p,13
mmu-mir-135b-5p,13
mmu-mir-7655-5p,13
mmu-mir-7242-3p,13
mmu-mir-7a-1-3p,13
mmu-mir-29c-3p,12
mmu-mir-466f-2-3p,12
mmu-mir-883b-5p,12
mmu-mir-1839-3p,12
mmu-mir-5121-3p,12
mmu-let-7i-3p,12
mmu-mir-1193-3p,12
mmu-mir-362-5p,12
mmu-mir-193a-5p,12
mmu-mir-196a-1-3p,12
mmu-mir-592-5p,12
mmu-mir-30c-1-3p,11
mmu-mir-293-5p,11
mmu-mir-762-5p,11
mmu-mir-3473f-5p,11
mmu-mir-1967-3p,11
mmu-mir-1191a-5p,11
mmu-mir-3472-5p,11
mmu-mir-877-3p,11
mmu-mir-1249-3p,11
mmu-mir-138-1-5p,11
mmu-mir-145b-5p,10
mmu-mir-8112-5p,10
mmu-mir-3070-2-5p,10
mmu-mir-376c-3p,10
mmu-mir-669l-5p,10
mmu-mir-718-3p,10
mmu-let-7a-2-3p,10
mmu-mir-301b-5p,10
mmu-mir-500-3p,10
mmu-mir-3471-2-3p,10
mmu-mir-499-5p,10
mmu-mir-450b-5p,10
mmu-mir-7242-5p,10
mmu-mir-7215-5p,10
mmu-mir-883a-5p,10
mmu-mir-7218-3p,10
mmu-mir-12182-3p,10
mmu-mir-6380-3p,10
mmu-mir-1191a-3p,10
mmu-mir-466j-5p,9
mmu-mir-3102-5p,9
mmu-mir-669h-5p,9
mmu-mir-3070-1-5p,9
mmu-mir-3470a-3p,9
mmu-mir-668-3p,9
mmu-mir-20a-3p,9
mmu-mir-666-5p,9
