SRR19795707_trimmed2.fasta,Count
mmu-mir-881-3p,116790
mmu-mir-34c-5p,56740
mmu-mir-148a-3p,35643
mmu-mir-143-3p,26079
mmu-mir-99a-5p,14829
mmu-let-7g-5p,10084
mmu-mir-871-3p,6986
mmu-mir-21a-5p,5878
mmu-mir-880-3p,4843
mmu-let-7i-5p,4342
mmu-mir-126a-3p,4213
mmu-mir-741-3p,3898
mmu-mir-30d-5p,3357
mmu-mir-100-5p,3337
mmu-mir-10b-5p,3283
mmu-mir-743b-3p,2983
mmu-mir-470-5p,2955
mmu-mir-30a-5p,2616
mmu-mir-26a-2-5p,2551
mmu-mir-26a-1-5p,2525
mmu-mir-191-5p,2170
mmu-mir-27b-3p,2041
mmu-mir-547-3p,1954
mmu-let-7f-2-5p,1872
mmu-mir-34b-3p,1855
mmu-let-7f-1-5p,1764
mmu-mir-30c-2-5p,1746
mmu-mir-30c-1-5p,1742
mmu-mir-25-3p,1608
mmu-mir-6406-5p,1571
mmu-mir-6236-5p,1565
mmu-mir-465c-1-5p,1494
mmu-mir-465c-2-5p,1494
mmu-let-7c-2-5p,1493
mmu-let-7c-1-5p,1487
mmu-mir-743a-3p,1418
mmu-mir-29a-3p,1324
mmu-mir-184-3p,1283
mmu-mir-7241-3p,1275
mmu-mir-92a-1-3p,1146
mmu-mir-449a-5p,1144
mmu-mir-872-5p,1135
mmu-mir-22-3p,1041
mmu-mir-99b-5p,1033
mmu-mir-883a-3p,1016
mmu-mir-203-3p,1013
mmu-mir-6240-3p,961
mmu-mir-465b-2-5p,960
mmu-mir-465b-1-5p,960
mmu-mir-202-5p,940
mmu-let-7a-1-5p,932
mmu-let-7a-2-5p,929
mmu-mir-20a-5p,928
mmu-mir-878-5p,923
mmu-mir-1981-5p,886
mmu-mir-103-2-3p,807
mmu-mir-103-1-3p,794
mmu-let-7b-5p,773
mmu-mir-30e-5p,759
mmu-mir-148b-3p,756
mmu-mir-125b-1-5p,731
mmu-mir-125b-2-5p,714
mmu-mir-5099-3p,694
mmu-mir-152-3p,685
mmu-mir-7a-1-5p,658
mmu-mir-7a-2-5p,631
mmu-mir-465a-5p,624
mmu-mir-871-5p,619
mmu-mir-199b-3p,558
mmu-mir-199a-2-3p,556
mmu-mir-199a-1-3p,556
