	SRR3174965_trimmed_size.fasta
hsa-mir-4741-3p	223
hsa-mir-576-5p	219
hsa-mir-126-3p	218
hsa-mir-3195-5p	217
hsa-mir-330-5p	215
hsa-mir-210-3p	210
hsa-mir-454-3p	208
hsa-mir-548ae-2-5p	208
hsa-mir-548o-3p	207
hsa-mir-20a-5p	196
hsa-mir-106b-3p	195
hsa-mir-17-5p	194
hsa-mir-1303-3p	192
hsa-mir-505-3p	188
hsa-mir-320d-1-3p	188
hsa-mir-148b-5p	187
hsa-mir-942-5p	182
hsa-mir-141-3p	181
hsa-mir-421-3p	179
hsa-mir-4448-3p	177
hsa-mir-200a-3p	177
hsa-mir-652-3p	176
hsa-mir-24-2-5p	175
hsa-mir-361-5p	171
hsa-mir-375-3p	167
hsa-mir-550a-1-5p	166
hsa-mir-9903-3p	165
hsa-mir-577-5p	163
hsa-mir-361-3p	162
hsa-mir-149-5p	160
hsa-mir-10a-3p	159
hsa-mir-671-5p	154
hsa-mir-25-5p	149
hsa-mir-33b-5p	147
hsa-mir-224-5p	144
hsa-mir-8086-3p	140
hsa-mir-106b-5p	139
hsa-mir-27a-5p	136
hsa-mir-4521-5p	136
hsa-mir-5585-3p	135
hsa-mir-1303-5p	134
hsa-mir-31-3p	134
hsa-mir-34a-5p	134
hsa-mir-5701-3-5p	127
hsa-mir-339-5p	122
hsa-mir-153-2-3p	120
hsa-mir-146b-5p	119
hsa-mir-7705-5p	119
hsa-mir-4661-5p	117
hsa-mir-3159-3p	116
hsa-mir-33b-3p	114
hsa-mir-29b-1-3p	114
hsa-mir-340-5p	112
hsa-mir-128-1-3p	111
hsa-mir-7977-5p	110
hsa-mir-374a-5p	110
hsa-mir-92a-1-5p	109
hsa-mir-328-3p	108
hsa-mir-1268b-5p	107
hsa-mir-532-5p	107
hsa-mir-194-1-5p	104
hsa-mir-556-5p	104
hsa-mir-1260a-5p	102
hsa-mir-29c-3p	101
hsa-mir-454-5p	99
hsa-mir-99b-3p	98
hsa-mir-2277-3p	95
hsa-mir-4284-5p	95
hsa-mir-1301-3p	95
hsa-mir-3176-3p	93
hsa-mir-374b-5p	92
hsa-mir-181c-5p	87
hsa-mir-9-3-5p	86
hsa-mir-320b-2-3p	85
hsa-mir-627-3p	84
hsa-mir-619-5p	83
hsa-mir-4791-5p	82
hsa-mir-500a-3p	80
hsa-mir-486-1-3p	79
hsa-mir-7704-5p	79
hsa-mir-627-5p	78
hsa-mir-330-3p	78
hsa-mir-374a-3p	76
hsa-mir-548ar-5p	75
hsa-mir-331-5p	74
hsa-mir-4697-3p	69
hsa-mir-320c-1-3p	69
hsa-mir-6724-3-5p	67
hsa-mir-378c-5p	66
hsa-mir-1255a-5p	64
hsa-mir-324-3p	63
hsa-mir-4517-5p	63
hsa-mir-877-5p	63
hsa-mir-548h-3-3p	63
hsa-mir-4508-5p	62
hsa-mir-449a-5p	61
hsa-mir-130b-5p	60
hsa-mir-548bc-3p	60
hsa-mir-32-5p	59
hsa-mir-4479-3p	59
hsa-mir-100-3p	57
hsa-mir-95-3p	56
hsa-mir-424-3p	56
hsa-mir-2467-5p	55
hsa-mir-135b-5p	55
hsa-mir-641-3p	54
hsa-mir-574-3p	54
hsa-mir-7-1-3p	54
hsa-mir-3200-3p	54
hsa-mir-4485-3p	54
hsa-let-7d-3p	52
hsa-mir-132-3p	51
hsa-mir-3665-5p	49
hsa-mir-576-3p	49
hsa-let-7e-5p	48
hsa-mir-12136-3p	48
hsa-mir-151b-3p	48
hsa-mir-26b-3p	48
hsa-mir-301a-5p	47
hsa-mir-22-5p	46
hsa-mir-5001-3p	46
hsa-mir-4775-5p	45
hsa-mir-548c-5p	45
hsa-mir-98-3p	44
hsa-mir-548az-5p	44
hsa-mir-4677-3p	44
hsa-mir-1538-3p	44
hsa-mir-548n-5p	44
hsa-mir-142-5p	43
hsa-mir-4430-3p	43
hsa-mir-26a-1-5p	42
