SRR3174965_trimmed_size.fasta,Count
hsa-mir-454-5p,100
hsa-mir-1294-3p,99
hsa-mir-3941-3p,99
hsa-mir-326-3p,99
hsa-mir-320c-1-3p,93
hsa-mir-2277-3p,91
hsa-mir-331-3p,91
hsa-mir-1301-3p,91
hsa-mir-374b-5p,90
hsa-mir-328-3p,89
hsa-mir-181c-5p,86
hsa-mir-627-3p,84
hsa-mir-3176-3p,84
hsa-mir-550a-1-5p,82
hsa-mir-550a-2-5p,82
hsa-mir-627-5p,78
hsa-mir-330-3p,77
hsa-mir-374a-3p,75
hsa-mir-331-5p,73
hsa-mir-4697-3p,68
hsa-mir-9903-3p,68
hsa-mir-500a-3p,64
hsa-mir-4517-5p,64
hsa-mir-1255a-5p,63
hsa-mir-1260a-5p,62
hsa-mir-877-5p,61
hsa-mir-153-1-3p,61
hsa-mir-29b-1-3p,60
hsa-mir-153-2-3p,60
hsa-mir-32-5p,59
hsa-mir-548bc-3p,58
hsa-mir-449a-5p,57
hsa-mir-130b-5p,57
hsa-mir-100-3p,56
hsa-mir-424-3p,56
hsa-mir-135b-5p,55
hsa-mir-95-3p,55
hsa-mir-4479-3p,55
hsa-mir-194-2-5p,54
hsa-mir-574-3p,54
hsa-mir-1303-3p,53
hsa-mir-3200-3p,53
hsa-mir-378b-3p,52
hsa-mir-2467-5p,52
hsa-mir-8086-3p,52
hsa-mir-194-1-5p,52
hsa-mir-1268b-5p,52
hsa-mir-29b-2-3p,50
hsa-mir-641-3p,50
hsa-mir-324-3p,49
hsa-mir-7-1-3p,49
hsa-mir-99b-3p,49
hsa-mir-576-3p,49
hsa-mir-320d-1-3p,48
hsa-mir-132-3p,48
hsa-mir-1268a-5p,48
hsa-mir-548n-5p,48
hsa-mir-301a-5p,47
hsa-mir-26b-3p,47
hsa-mir-3665-5p,46
hsa-mir-22-5p,45
hsa-let-7d-3p,45
hsa-mir-4677-3p,44
hsa-mir-4775-5p,44
hsa-mir-9985-5p,43
hsa-mir-7704-5p,43
hsa-let-7e-5p,43
hsa-mir-142-5p,42
hsa-mir-3614-5p,41
hsa-mir-486-2-3p,40
hsa-mir-486-1-3p,39
hsa-mir-7-1-5p,39
hsa-mir-1287-5p,39
hsa-mir-548u-3p,39
hsa-mir-1266-5p,37
hsa-mir-5092-3p,36
hsa-mir-501-3p,36
hsa-mir-196b-3p,36
hsa-mir-215-5p,36
hsa-mir-548e-5p,36
hsa-mir-642a-5p,36
hsa-mir-378c-5p,35
hsa-mir-12135-3p,35
hsa-mir-1843-5p,34
hsa-mir-3613-5p,34
hsa-mir-147b-3p,33
hsa-mir-191-3p,33
hsa-mir-93-3p,32
hsa-mir-1538-3p,32
hsa-mir-98-3p,32
hsa-mir-5001-3p,32
hsa-mir-573-5p,32
hsa-mir-4485-3p,31
