,Count
ath-MIR845,25658
ath-MIR158,8044
MIR156/157,6829
ath-MIR822,6541
ath-MIR159,4046
ath-MIR398,2501
ath-MIR161,1953
ath-MIR319,1924
ath-MIR169,1748
MIR165/166,1466
ath-MIR5645,1368
ath-MIR173,1113
ath-MIR5635,1091
ath-MIR403,1041
ath-MIR172,988
ath-MIR163,959
ath-MIR5642,894
ath-MIR168,834
ath-MIR868,820
ath-MIR841,793
ath-MIR408,758
ath-MIR396,725
ath-MIR859,725
ath-MIR8175,658
ath-MIR866,585
ath-MIR5638,566
ath-MIR160,525
ath-MIR407,512
ath-MIR5634,496
ath-MIR835,437
ath-MIR824,420
ath-MIR829,416
ath-MIR778,410
ath-MIR447,349
ath-MIR773,332
ath-MIR8169,329
ath-MIR846,317
ath-MIR5648,316
ath-MIR836,315
ath-MIR858,315
ath-MIR162,306
ath-MIR167,291
ath-MIR2937,266
ath-MIR832,256
ath-MIR5639,237
ath-MIR5028,219
ath-MIR394,216
ath-MIR472,211
ath-MIR5655,210
ath-MIR5647,209
ath-MIR851,204
ath-MIR5665,203
ath-MIR8174,201
ath-MIR8182,196
ath-MIR5652,192
ath-MIR840,191
ath-MIR390,183
ath-MIR5026,182
ath-MIR5998,174
ath-MIR4243,173
ath-MIR400,160
ath-MIR5020,160
ath-MIR827,158
ath-MIR5641,151
ath-MIR5013,151
ath-MIR5633,148
ath-MIR5653,139
ath-MIR855,132
ath-MIR2936,129
ath-MIR856,127
ath-MIR401,121
ath-MIR847,120
ath-MIR5017,120
ath-MIR5029,114
ath-MIR5640,113
ath-MIR399,112
ath-MIR3434,110
ath-MIR2939,110
ath-MIR5014,108
ath-MIR853,107
ath-MIR393,107
ath-MIR402,102
ath-MIR5643,99
ath-MIR4228,99
ath-MIR5021,97
ath-MIR5660,97
ath-MIR2112,97
ath-MIR839,96
ath-MIR395,95
ath-MIR826,94
ath-MIR8180,94
ath-MIR391,91
ath-MIR848,84
ath-MIR869,83
ath-MIR2934,82
ath-MIR5651,81
ath-MIR171,81
ath-MIR781,81
ath-MIR849,81
ath-MIR164,80
ath-MIR5015,79
ath-MIR850,79
ath-MIR857,78
ath-MIR774,77
ath-MIR823,77
ath-MIR8172,77
ath-MIR833,76
ath-MIR4245,74
ath-MIR865,74
ath-MIR5016,73
ath-MIR2111,71
ath-MIR5018,70
ath-MIR2933,67
ath-MIR5656,67
ath-MIR5629,66
ath-MIR5628,65
ath-MIR5644,62
ath-MIR780,61
ath-MIR844,60
ath-MIR5023,58
ath-MIR8176,56
ath-MIR4227,56
ath-MIR5662,52
ath-MIR862,51
ath-MIR775,51
ath-MIR831,50
ath-MIR5632,49
ath-MIR8183,47
ath-MIR854,47
ath-MIR5022,46
ath-MIR8166,46
ath-MIR3440,46
ath-MIR8171,45
ath-MIR771,45
ath-MIR4240,44
ath-MIR405,44
ath-MIR828,43
ath-MIR5019,43
ath-MIR863,43
ath-MIR5663,43
ath-MIR5027,42
ath-MIR404,41
ath-MIR5664,41
ath-MIR10515,40
ath-MIR5025,40
ath-MIR843,40
ath-MIR842,39
ath-MIR834,37
ath-MIR8167,37
ath-MIR5024,36
ath-MIR1888,35
ath-MIR3932,35
ath-MIR5012,35
ath-MIR8170,34
ath-MIR5637,34
ath-MIR406,33
ath-MIR4239,31
ath-MIR782,31
ath-MIR861,31
ath-MIR5636,29
ath-MIR825,29
ath-MIR852,28
ath-MIR1886,27
ath-MIR5657,27
ath-MIR838,27
ath-MIR8179,25
ath-MIR5995,23
ath-MIR5999,23
ath-MIR3933,23
ath-MIR779,22
ath-MIR860,21
ath-MIR8178,20
ath-MIR8173,20
ath-MIR426,20
ath-MIR830,20
ath-MIR776,19
ath-MIR5997,18
ath-MIR416,17
ath-MIR397,17
ath-MIR5654,16
ath-MIR5996,16
ath-MIR2938,16
ath-MIR4221,15
ath-MIR170,13
ath-MIR8177,13
ath-MIR8165,13
ath-MIR418,11
ath-MIR864,10
ath-MIR5595,10
ath-MIR415,10
ath-MIR413,10
ath-MIR5659,10
ath-MIR870,10
ath-MIR8121,9
ath-MIR8184,9
ath-MIR5666,9
ath-MIR837,9
ath-MIR867,8
ath-MIR5646,8
ath-MIR5661,8
ath-MIR8168,8
ath-MIR417,8
ath-MIR414,7
ath-MIR420,7
ath-MIR5658,6
ath-MIR5630,6
ath-MIR419,5
ath-MIR8181,5
ath-MIR777,5
ath-MIR1887,4
ath-MIR5649,4
ath-MIR5650,3
ath-MIR5631,3
