,Count
ath-MIR845,66727
MIR156/157,35337
ath-MIR161,26455
ath-MIR158,5578
ath-MIR5645,4664
ath-MIR169,4254
ath-MIR162,3890
ath-MIR159,3575
ath-MIR832,3567
ath-MIR319,3116
MIR165/166,3051
ath-MIR5642,2779
ath-MIR840,1824
ath-MIR836,1750
ath-MIR858,1436
ath-MIR5655,1335
ath-MIR173,1179
ath-MIR168,1176
ath-MIR8182,1161
ath-MIR866,1118
ath-MIR5638,937
ath-MIR853,900
ath-MIR841,900
ath-MIR403,858
ath-MIR5651,827
ath-MIR824,775
ath-MIR822,760
ath-MIR399,730
ath-MIR394,697
ath-MIR2937,686
ath-MIR5639,678
ath-MIR5652,663
ath-MIR5020,626
ath-MIR408,546
ath-MIR396,542
ath-MIR3434,514
ath-MIR851,497
ath-MIR2111,485
ath-MIR844,473
ath-MIR5635,459
ath-MIR402,456
ath-MIR160,450
ath-MIR5648,444
ath-MIR5013,434
ath-MIR5017,420
ath-MIR5029,416
ath-MIR167,404
ath-MIR5640,400
ath-MIR5634,396
ath-MIR8171,392
ath-MIR778,371
ath-MIR827,366
ath-MIR4243,351
ath-MIR2939,350
ath-MIR846,345
ath-MIR163,336
ath-MIR5021,334
ath-MIR839,333
ath-MIR5026,332
ath-MIR447,330
ath-MIR8180,326
ath-MIR855,319
ath-MIR8175,319
ath-MIR172,311
ath-MIR4228,294
ath-MIR773,287
ath-MIR829,272
ath-MIR2933,269
ath-MIR5998,264
ath-MIR5665,256
ath-MIR850,243
ath-MIR404,228
ath-MIR5647,227
ath-MIR5660,224
ath-MIR8169,221
ath-MIR868,215
ath-MIR8167,212
ath-MIR835,208
ath-MIR395,206
ath-MIR401,205
ath-MIR398,204
ath-MIR5653,204
ath-MIR857,199
ath-MIR2936,199
ath-MIR5641,197
ath-MIR8176,195
ath-MIR847,192
ath-MIR848,192
ath-MIR862,185
ath-MIR8183,176
ath-MIR3440,173
ath-MIR842,171
ath-MIR164,165
ath-MIR400,164
ath-MIR5016,158
ath-MIR771,156
ath-MIR390,154
ath-MIR856,148
ath-MIR834,148
ath-MIR833,145
ath-MIR5025,142
ath-MIR5658,140
ath-MIR863,137
ath-MIR8174,137
ath-MIR780,135
ath-MIR2112,134
ath-MIR8173,124
ath-MIR5633,121
ath-MIR391,119
ath-MIR4245,118
ath-MIR472,117
ath-MIR5662,116
ath-MIR831,116
ath-MIR5643,112
ath-MIR869,109
ath-MIR393,109
ath-MIR4227,108
ath-MIR5028,104
ath-MIR5644,102
ath-MIR854,102
ath-MIR3932,101
ath-MIR5015,95
ath-MIR5023,89
ath-MIR774,87
ath-MIR171,85
ath-MIR405,84
ath-MIR823,83
ath-MIR5018,77
ath-MIR5656,77
ath-MIR10515,75
ath-MIR2934,73
ath-MIR843,71
ath-MIR5629,70
ath-MIR828,70
ath-MIR5657,70
ath-MIR5646,70
ath-MIR5022,68
ath-MIR8181,68
ath-MIR781,66
ath-MIR5630,62
ath-MIR5012,62
ath-MIR859,61
ath-MIR830,60
ath-MIR407,58
ath-MIR861,57
ath-MIR4240,53
ath-MIR826,52
ath-MIR8170,52
ath-MIR8165,52
ath-MIR5999,52
ath-MIR849,51
ath-MIR838,49
ath-MIR865,48
ath-MIR4221,47
ath-MIR825,47
ath-MIR5632,47
ath-MIR5995,47
ath-MIR8172,46
ath-MIR170,45
ath-MIR5654,45
ath-MIR4239,44
ath-MIR5664,43
ath-MIR5027,40
ath-MIR5628,39
ath-MIR413,39
ath-MIR8178,38
ath-MIR779,37
ath-MIR775,37
ath-MIR406,36
ath-MIR5595,35
ath-MIR5996,32
ath-MIR852,31
ath-MIR5024,30
ath-MIR8168,30
ath-MIR782,30
ath-MIR8166,29
ath-MIR3933,28
ath-MIR5019,27
ath-MIR5014,26
ath-MIR397,25
ath-MIR5636,24
ath-MIR5637,24
ath-MIR418,23
ath-MIR5997,22
ath-MIR1886,22
ath-MIR1888,22
ath-MIR5663,21
ath-MIR8184,20
ath-MIR8177,20
ath-MIR870,19
ath-MIR426,19
ath-MIR416,18
ath-MIR5659,17
ath-MIR8121,15
ath-MIR419,15
ath-MIR414,14
ath-MIR5631,13
ath-MIR415,12
ath-MIR860,11
ath-MIR837,11
ath-MIR776,10
ath-MIR5666,9
ath-MIR864,9
ath-MIR417,8
ath-MIR2938,7
ath-MIR8179,7
ath-MIR867,6
ath-MIR777,6
ath-MIR1887,6
ath-MIR5661,3
ath-MIR5649,3
ath-MIR5650,2
ath-MIR420,1
