,Count
ath-MIR845,62557
MIR156/157,34047
ath-MIR161,34018
ath-MIR5642,7442
ath-MIR162,7019
ath-MIR158,6330
ath-MIR832,4275
ath-MIR159,3821
ath-MIR858,3671
ath-MIR169,3379
ath-MIR5645,2832
ath-MIR168,2789
MIR165/166,2728
ath-MIR319,1509
ath-MIR822,1501
ath-MIR836,1352
ath-MIR173,1240
ath-MIR5655,1196
ath-MIR403,1171
ath-MIR5638,1078
ath-MIR5020,1057
ath-MIR866,970
ath-MIR840,880
ath-MIR399,825
ath-MIR841,818
ath-MIR824,816
ath-MIR780,775
ath-MIR2937,704
ath-MIR829,692
ath-MIR851,675
ath-MIR853,648
ath-MIR5652,614
ath-MIR5639,599
ath-MIR167,564
ath-MIR8182,526
ath-MIR5026,508
ath-MIR396,495
ath-MIR447,459
ath-MIR172,454
ath-MIR160,451
ath-MIR402,450
ath-MIR8169,445
ath-MIR5647,439
ath-MIR5640,416
ath-MIR839,416
ath-MIR3434,415
ath-MIR827,405
ath-MIR5648,393
ath-MIR2939,386
ath-MIR844,386
ath-MIR398,386
ath-MIR778,380
ath-MIR394,376
ath-MIR5635,360
ath-MIR5025,355
ath-MIR846,354
ath-MIR5634,348
ath-MIR2111,345
ath-MIR8183,343
ath-MIR5665,331
ath-MIR5029,330
ath-MIR408,323
ath-MIR4228,315
ath-MIR855,315
ath-MIR163,307
ath-MIR5998,295
ath-MIR773,288
ath-MIR5021,288
ath-MIR2933,285
ath-MIR8171,284
ath-MIR848,280
ath-MIR5017,271
ath-MIR868,255
ath-MIR8175,254
ath-MIR835,243
ath-MIR5653,234
ath-MIR842,232
ath-MIR5641,231
ath-MIR8180,228
ath-MIR771,226
ath-MIR2936,225
ath-MIR850,221
ath-MIR3440,210
ath-MIR857,206
ath-MIR5651,206
ath-MIR164,188
ath-MIR5660,187
ath-MIR401,185
ath-MIR847,184
ath-MIR5028,184
ath-MIR869,182
ath-MIR404,180
ath-MIR5016,179
ath-MIR395,179
ath-MIR8167,175
ath-MIR390,156
ath-MIR859,156
ath-MIR8176,156
ath-MIR5015,156
ath-MIR472,150
ath-MIR831,148
ath-MIR393,148
ath-MIR863,146
ath-MIR856,145
ath-MIR5643,142
ath-MIR5023,140
ath-MIR5633,136
ath-MIR862,131
ath-MIR2934,129
ath-MIR4243,126
ath-MIR833,125
ath-MIR854,120
ath-MIR400,117
ath-MIR823,117
ath-MIR8174,116
ath-MIR834,110
ath-MIR5013,107
ath-MIR3932,105
ath-MIR775,105
ath-MIR5662,103
ath-MIR391,100
ath-MIR4240,100
ath-MIR4227,99
ath-MIR5658,98
ath-MIR5996,93
ath-MIR5022,93
ath-MIR2112,87
ath-MIR5656,86
ath-MIR8173,86
ath-MIR861,85
ath-MIR774,83
ath-MIR5018,82
ath-MIR4245,80
ath-MIR405,79
ath-MIR8121,78
ath-MIR838,75
ath-MIR5629,74
ath-MIR8165,69
ath-MIR781,69
ath-MIR171,68
ath-MIR5644,68
ath-MIR5999,68
ath-MIR5657,68
ath-MIR8181,66
ath-MIR407,63
ath-MIR5027,62
ath-MIR5630,62
ath-MIR779,62
ath-MIR865,60
ath-MIR5012,59
ath-MIR5024,54
ath-MIR4221,54
ath-MIR5664,52
ath-MIR406,52
ath-MIR8172,50
ath-MIR5632,50
ath-MIR8170,49
ath-MIR5995,48
ath-MIR849,48
ath-MIR5654,48
ath-MIR828,48
ath-MIR10515,46
ath-MIR5637,46
ath-MIR826,45
ath-MIR8166,43
ath-MIR413,42
ath-MIR5628,42
ath-MIR825,42
ath-MIR782,41
ath-MIR8178,40
ath-MIR397,39
ath-MIR843,38
ath-MIR4239,37
ath-MIR5646,37
ath-MIR8168,36
ath-MIR1888,35
ath-MIR852,34
ath-MIR5997,33
ath-MIR830,33
ath-MIR5014,30
ath-MIR864,27
ath-MIR5019,27
ath-MIR5595,25
ath-MIR419,23
ath-MIR5636,21
ath-MIR426,21
ath-MIR170,20
ath-MIR1886,20
ath-MIR417,20
ath-MIR776,20
ath-MIR2938,19
ath-MIR8177,19
ath-MIR415,18
ath-MIR867,18
ath-MIR870,17
ath-MIR418,17
ath-MIR837,15
ath-MIR3933,15
ath-MIR5663,14
ath-MIR5659,14
ath-MIR416,14
ath-MIR414,14
ath-MIR860,13
ath-MIR8179,12
ath-MIR5631,9
ath-MIR8184,9
ath-MIR5666,8
ath-MIR777,8
ath-MIR1887,7
ath-MIR5649,5
ath-MIR5661,4
ath-MIR5650,4
